sensor	date	time	timestamp	pm2_5_ug_m3	aqi_us	aqi_cn	pm10_ug_m3	pm1_ug_m3	outdoor_aqi_us	outdoor_aqi_cn	temperature_c	temperature_f	humidity_percent_rh	co2_ppm	voc_ppb	experimentID	participantID	start_time	stop_time	toilet_type	activity	duration_of_expt
CEN00389	2022-05-31	47880	2022-05-31T13:18:00Z	1	4	1	1	0	0	0	20.1	68.3	57	1719	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47890	2022-05-31T13:18:10Z	2	8	3	2	0	0	0	20.2	68.4	56	1678	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47900	2022-05-31T13:18:20Z	3	13	4	3	1	0	0	20.2	68.4	56	1408	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47910	2022-05-31T13:18:30Z	4	17	6	4	2	0	0	20.2	68.4	56	1192	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47920	2022-05-31T13:18:40Z	3	13	4	3	1	0	0	20.3	68.5	51	932	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47930	2022-05-31T13:18:50Z	2	8	3	2	0	0	0	20.3	68.5	51	810	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47940	2022-05-31T13:19:00Z	2	8	3	2	0	0	0	20.3	68.5	51	711	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47950	2022-05-31T13:19:10Z	1	4	1	1	0	0	0	20.3	68.6	51	622	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47960	2022-05-31T13:19:20Z	1	4	1	1	0	0	0	20.3	68.6	51	580	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47970	2022-05-31T13:19:30Z	1	4	1	1	0	0	0	20.3	68.6	51	550	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47980	2022-05-31T13:19:40Z	2	8	3	2	0	0	0	20.3	68.5	51	544	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	47990	2022-05-31T13:19:50Z	1	4	1	1	0	0	0	20.3	68.5	51	542	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	48000	2022-05-31T13:20:00Z	1	4	1	1	0	0	0	20.3	68.5	51	550	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	48010	2022-05-31T13:20:10Z	1	4	1	1	0	0	0	20.3	68.5	51	552	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	48020	2022-05-31T13:20:20Z	1	4	1	1	0	0	0	20.3	68.5	51	554	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	48030	2022-05-31T13:20:30Z	1	4	1	1	0	0	0	20.3	68.5	51	561	NA	NA	NA	NA	NA	NA	NA	NA
CEN00389	2022-05-31	48040	2022-05-31T13:20:40Z	1	4	1	1	0	0	0	20.3	68.5	51	567	NA	NA	NA	NA	NA	NA	NA	NA
